id ra dec hi_size line_flux_integral central_freq pa i w20
124 0.6581666666666667 34.51722222222222 171 2.1 4798 180 45 189
125 0.6629444444444444 33.15694444444444 103 1.03 8905 180 45 159
126 0.6713888888888888 31.110000000000003 307 1.2 5775 180 45 322
127 0.6816944444444444 34.74194444444444 147 1.34 4548 180 45 169
128 0.6819166666666666 36.072500000000005 113 1.16 11387 180 45 172
129 0.6825833333333333 31.90611111111111 97 1.42 5370 180 45 116
130 0.6844722222222223 31.731944444444444 416 7.58 4652 180 45 436
131 0.6933611111111111 31.740555555555556 93 0.81 4585 180 45 114
132 0.6945833333333333 31.265833333333333 76 0.61 5210 180 45 101
133 0.6975555555555556 32.98694444444445 221 4.7 4927 180 45 241
134 0.7021944444444445 33.40833333333333 207 2.47 6251 180 45 219
135 0.7075833333333333 35.79194444444444 81 0.52 6721 180 45 96
136 0.7074999999999999 33.18666666666666 162 4.24 6251 180 45 185
137 0.7086666666666667 34.53861111111111 165 4.83 6189 180 45 223
138 0.7112222222222222 34.70444444444445 76 0.77 9965 180 45 104
139 0.7147777777777777 32.578611111111115 146 7.16 4828 180 45 174
140 0.7147777777777777 33.519444444444446 322 2.3 6215 180 45 342
141 0.7162222222222222 35.35722222222223 214 3.25 10510 180 45 292
142 0.7206388888888889 32.81888888888889 141 1.37 4680 180 45 156
143 0.7302777777777778 32.86388888888889 404 2.57 4774 180 45 414
144 0.7313611111111111 35.23083333333334 127 0.75 10513 180 45 138
145 0.7373055555555555 32.611666666666665 84 0.64 4725 180 45 113
146 0.74825 31.079166666666666 199 2.52 5438 180 45 231
147 0.7592222222222222 31.739166666666666 202 1.47 5520 180 45 213
148 0.7635833333333333 31.15 127 1.13 5066 180 45 150
149 0.7745277777777778 31.805555555555557 352 3.97 6254 180 45 387
150 0.7779444444444445 31.719166666666666 208 1.36 5980 180 45 220
151 0.7823055555555556 32.67722222222222 417 15.31 4861 180 45 451
152 0.7846111111111111 35.60333333333333 175 1.36 6136 180 45 202
153 0.7865 32.702222222222225 41 0.6 5144 180 45 70
154 0.7908055555555555 31.15 187 1.39 5294 180 45 210
155 0.7920555555555555 31.653888888888886 176 2.75 5075 180 45 188
156 0.7946666666666666 33.166666666666664 144 1.72 4985 180 45 168
157 0.8131666666666667 31.953611111111112 61 14.3 4540 180 45 83
158 0.8153333333333334 31.785833333333336 155 1.35 5088 180 45 184
159 0.8233611111111111 31.90611111111111 50 1.33 4508 180 45 68
160 0.8256388888888889 35.24777777777778 103 1.86 11258 180 45 122
161 0.8294722222222222 31.60027777777778 209 2.02 5134 180 45 235
162 0.82975 32.280277777777776 468 6.93 4648 180 45 490
163 0.8313333333333334 35.736111111111114 169 1.54 9560 180 45 209
164 0.8359444444444445 31.50027777777778 61 0.71 5255 180 45 84
165 0.8362222222222223 31.733888888888888 271 3.73 4601 180 45 295
166 0.8438055555555556 32.10527777777778 41 1.49 5367 180 45 64
167 0.8442777777777778 32.35305555555556 20 0.41 4926 180 45 31
168 0.8493333333333334 31.747777777777777 94 1.32 5725 180 45 105
169 0.8517777777777777 33.89055555555556 260 1.55 10369 180 45 267
170 0.8635555555555555 31.20638888888889 213 1.26 6906 180 45 219
171 0.8706666666666667 32.4325 29 0.44 4900 180 45 49
172 0.87175 31.43638888888889 120 0.79 4520 180 45 146
173 0.8722500000000001 33.083333333333336 150 1.42 5121 180 45 197
174 0.8723055555555556 33.75138888888889 319 1.89 10386 180 45 360
175 0.8767222222222223 32.05916666666666 71 0.91 5329 180 45 105
176 0.8775833333333334 32.217777777777776 97 1.68 4909 180 45 127
177 0.8814722222222222 31.638333333333332 254 1.83 8281 180 45 274
178 0.8836111111111111 31.011944444444445 154 1.54 5991 180 45 173
179 0.8866388888888889 31.65222222222222 232 1.85 5536 180 45 244
180 0.8879166666666667 31.62638888888889 194 1.89 6078 180 45 208
181 0.8884722222222222 31.239722222222223 238 1.13 4564 180 45 262
182 0.8890833333333333 31.71222222222222 223 2.16 7340 180 45 240
183 0.8894166666666666 32.640277777777776 122 0.75 5481 180 45 154
184 0.8934166666666666 31.41861111111111 392 1.17 5385 180 45 404
185 0.8936388888888889 31.578611111111112 117 1.44 5204 180 45 135
186 0.8969166666666666 35.45027777777778 183 0.9 11233 180 45 194
187 0.9017222222222222 32.17111111111111 82 0.65 7637 180 45 88
188 0.9062222222222223 31.66722222222222 234 4.52 6604 180 45 266
189 0.9130833333333334 31.366944444444446 250 5.0 4496 180 45 311
190 0.9135277777777778 31.745833333333334 199 3.55 6029 180 45 222
191 0.9185555555555556 31.544444444444448 457 6.47 5467 180 45 494
192 0.92075 35.43861111111111 202 2.63 10959 180 45 247
193 0.921611111111111 31.73222222222222 214 10.09 6299 180 45 233
194 0.9227777777777777 31.675555555555558 254 2.55 5638 180 45 278
195 0.9353611111111111 32.19444444444444 193 0.96 5122 180 45 221
196 0.9364444444444444 31.071666666666665 259 1.77 4660 180 45 275
197 0.9440000000000001 35.775277777777774 69 0.47 2693 180 45 85
198 0.9457222222222222 31.250833333333333 76 0.82 5473 180 45 117
199 0.9530555555555555 32.64666666666667 177 1.13 5004 180 45 196
200 0.9576111111111111 31.475277777777777 279 1.6 6242 180 45 301
201 0.960111111111111 32.76166666666666 118 1.36 5118 180 45 172
202 0.96075 33.35166666666667 153 0.97 5269 180 45 183
